Subject,Description,Service,Impact,Status
Role-based access change request for team EXT-9693,Batch imported ticket for Role-based access change request for team EXT-9693. User ID: user2. Please investigate the Access logs for ID EXT-9693. User IP: 242.146.96.36,Access,High,open
Connection pool exhaustion on microservice EXT-2359,Batch imported ticket for Connection pool exhaustion on microservice EXT-2359. User ID: user2. Please investigate the Database logs for ID EXT-2359. User IP: 221.195.194.73,Database,Critical,in_progress
DNS resolution failure for internal host EXT-5373,Batch imported ticket for DNS resolution failure for internal host EXT-5373. User ID: user2. Please investigate the Network logs for ID EXT-5373. User IP: 40.157.131.249,Network,High,open
Password reset requested for executive account EXT-3582,Batch imported ticket for Password reset requested for executive account EXT-3582. User ID: user2. Please investigate the Access logs for ID EXT-3582. User IP: 120.255.220.42,Access,High,in_progress
User session timeout issue on mobile app version EXT-5012,Batch imported ticket for User session timeout issue on mobile app version EXT-5012. User ID: user2. Please investigate the Application logs for ID EXT-5012. User IP: 20.34.97.111,Application,Critical,open
Wireless AP EXT-2170 offline in South Wing,Batch imported ticket for Wireless AP EXT-2170 offline in South Wing. User ID: user2. Please investigate the Network logs for ID EXT-2170. User IP: 184.247.215.122,Network,Medium,in_progress
Wireless AP EXT-4569 offline in South Wing,Batch imported ticket for Wireless AP EXT-4569 offline in South Wing. User ID: user2. Please investigate the Network logs for ID EXT-4569. User IP: 123.47.6.183,Network,Critical,in_progress
S3 bucket EXT-3465 access denied for service role,Batch imported ticket for S3 bucket EXT-3465 access denied for service role. User ID: user2. Please investigate the Storage logs for ID EXT-3465. User IP: 219.108.20.173,Storage,High,resolved
S3 bucket EXT-8394 access denied for service role,Batch imported ticket for S3 bucket EXT-8394 access denied for service role. User ID: user2. Please investigate the Storage logs for ID EXT-8394. User IP: 76.61.195.250,Storage,Critical,resolved
API Latency increased for /v1/products/list - EXT-4967,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4967. User ID: user2. Please investigate the Application logs for ID EXT-4967. User IP: 206.238.32.242,Application,High,open
Unusual login activity detected for account EXT-6923,Batch imported ticket for Unusual login activity detected for account EXT-6923. User ID: user2. Please investigate the Security logs for ID EXT-6923. User IP: 246.64.253.35,Security,High,in_progress
Password reset requested for executive account EXT-9463,Batch imported ticket for Password reset requested for executive account EXT-9463. User ID: user2. Please investigate the Access logs for ID EXT-9463. User IP: 126.51.153.20,Access,Critical,in_progress
Connection pool exhaustion on microservice EXT-5709,Batch imported ticket for Connection pool exhaustion on microservice EXT-5709. User ID: user2. Please investigate the Database logs for ID EXT-5709. User IP: 249.80.98.81,Database,Low,open
VPN tunnel EXT-4844 status changed to Down,Batch imported ticket for VPN tunnel EXT-4844 status changed to Down. User ID: user2. Please investigate the Network logs for ID EXT-4844. User IP: 239.176.198.20,Network,Low,open
DNS resolution failure for internal host EXT-6542,Batch imported ticket for DNS resolution failure for internal host EXT-6542. User ID: user2. Please investigate the Network logs for ID EXT-6542. User IP: 177.95.160.88,Network,Low,resolved
Payment gateway 500 status on /checkout/EXT-9352,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9352. User ID: user2. Please investigate the Application logs for ID EXT-9352. User IP: 86.148.149.43,Application,High,open
Wireless AP EXT-3126 offline in South Wing,Batch imported ticket for Wireless AP EXT-3126 offline in South Wing. User ID: user2. Please investigate the Network logs for ID EXT-3126. User IP: 8.133.154.89,Network,Low,in_progress
EFS mount failure on instance EXT-8176,Batch imported ticket for EFS mount failure on instance EXT-8176. User ID: user2. Please investigate the Storage logs for ID EXT-8176. User IP: 6.108.89.188,Storage,Critical,open
