Subject,Description,Service,Impact,Status
Role-based access change request for team EXT-9487,Batch imported ticket for Role-based access change request for team EXT-9487. User ID: user5. Please investigate the Access logs for ID EXT-9487. User IP: 64.211.26.83,Access,Medium,resolved
Postgres slow query optimization needed for EXT-5306,Batch imported ticket for Postgres slow query optimization needed for EXT-5306. User ID: user5. Please investigate the Database logs for ID EXT-5306. User IP: 140.111.162.191,Database,Medium,in_progress
Role-based access change request for team EXT-5493,Batch imported ticket for Role-based access change request for team EXT-5493. User ID: user5. Please investigate the Access logs for ID EXT-5493. User IP: 77.246.76.248,Access,Medium,open
VPN tunnel EXT-7694 status changed to Down,Batch imported ticket for VPN tunnel EXT-7694 status changed to Down. User ID: user5. Please investigate the Network logs for ID EXT-7694. User IP: 228.211.229.30,Network,Medium,in_progress
Role-based access change request for team EXT-3276,Batch imported ticket for Role-based access change request for team EXT-3276. User ID: user5. Please investigate the Access logs for ID EXT-3276. User IP: 163.143.44.82,Access,Low,open
Postgres slow query optimization needed for EXT-7879,Batch imported ticket for Postgres slow query optimization needed for EXT-7879. User ID: user5. Please investigate the Database logs for ID EXT-7879. User IP: 74.102.96.2,Database,High,open
EFS mount failure on instance EXT-2137,Batch imported ticket for EFS mount failure on instance EXT-2137. User ID: user5. Please investigate the Storage logs for ID EXT-2137. User IP: 153.252.225.151,Storage,Medium,in_progress
S3 bucket EXT-2123 access denied for service role,Batch imported ticket for S3 bucket EXT-2123 access denied for service role. User ID: user5. Please investigate the Storage logs for ID EXT-2123. User IP: 83.117.238.162,Storage,Critical,open
User session timeout issue on mobile app version EXT-1611,Batch imported ticket for User session timeout issue on mobile app version EXT-1611. User ID: user5. Please investigate the Application logs for ID EXT-1611. User IP: 144.251.129.141,Application,Low,in_progress
Database backup failure for instance EXT-5798 on S3,Batch imported ticket for Database backup failure for instance EXT-5798 on S3. User ID: user5. Please investigate the Database logs for ID EXT-5798. User IP: 146.234.83.68,Database,High,in_progress
Role-based access change request for team EXT-9974,Batch imported ticket for Role-based access change request for team EXT-9974. User ID: user5. Please investigate the Access logs for ID EXT-9974. User IP: 189.191.173.150,Access,Medium,open
Credential stuffing attempt blocked on IP range EXT-3130.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3130.0.0/16. User ID: user5. Please investigate the Security logs for ID EXT-3130. User IP: 101.60.210.31,Security,Medium,in_progress
API Latency increased for /v1/products/list - EXT-2491,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2491. User ID: user5. Please investigate the Application logs for ID EXT-2491. User IP: 90.106.192.80,Application,Medium,open
S3 bucket EXT-2476 access denied for service role,Batch imported ticket for S3 bucket EXT-2476 access denied for service role. User ID: user5. Please investigate the Storage logs for ID EXT-2476. User IP: 103.42.150.171,Storage,Critical,open
Role-based access change request for team EXT-2374,Batch imported ticket for Role-based access change request for team EXT-2374. User ID: user5. Please investigate the Access logs for ID EXT-2374. User IP: 17.104.34.25,Access,Low,in_progress
Unusual login activity detected for account EXT-4845,Batch imported ticket for Unusual login activity detected for account EXT-4845. User ID: user5. Please investigate the Security logs for ID EXT-4845. User IP: 1.81.0.210,Security,Low,in_progress
VPN tunnel EXT-2065 status changed to Down,Batch imported ticket for VPN tunnel EXT-2065 status changed to Down. User ID: user5. Please investigate the Network logs for ID EXT-2065. User IP: 230.229.155.73,Network,High,resolved
Database backup failure for instance EXT-1889 on S3,Batch imported ticket for Database backup failure for instance EXT-1889 on S3. User ID: user5. Please investigate the Database logs for ID EXT-1889. User IP: 146.106.45.63,Database,Medium,in_progress
DNS resolution failure for internal host EXT-7757,Batch imported ticket for DNS resolution failure for internal host EXT-7757. User ID: user5. Please investigate the Network logs for ID EXT-7757. User IP: 63.226.210.212,Network,Critical,in_progress
Server cluster EXT-5783 high CPU usage warning,Batch imported ticket for Server cluster EXT-5783 high CPU usage warning. User ID: user5. Please investigate the Infrastructure logs for ID EXT-5783. User IP: 111.72.152.98,Infrastructure,Low,open
Password reset requested for executive account EXT-6956,Batch imported ticket for Password reset requested for executive account EXT-6956. User ID: user5. Please investigate the Access logs for ID EXT-6956. User IP: 241.11.109.28,Access,Low,in_progress
Wireless AP EXT-5091 offline in South Wing,Batch imported ticket for Wireless AP EXT-5091 offline in South Wing. User ID: user5. Please investigate the Network logs for ID EXT-5091. User IP: 224.228.184.109,Network,Medium,in_progress
DNS resolution failure for internal host EXT-3413,Batch imported ticket for DNS resolution failure for internal host EXT-3413. User ID: user5. Please investigate the Network logs for ID EXT-3413. User IP: 146.234.66.144,Network,Medium,open
EFS mount failure on instance EXT-2796,Batch imported ticket for EFS mount failure on instance EXT-2796. User ID: user5. Please investigate the Storage logs for ID EXT-2796. User IP: 12.139.147.45,Storage,Critical,open
Unusual login activity detected for account EXT-1855,Batch imported ticket for Unusual login activity detected for account EXT-1855. User ID: user5. Please investigate the Security logs for ID EXT-1855. User IP: 31.194.150.179,Security,Low,resolved
API Latency increased for /v1/products/list - EXT-3031,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3031. User ID: user5. Please investigate the Application logs for ID EXT-3031. User IP: 4.103.36.152,Application,Critical,resolved
Payment gateway 500 status on /checkout/EXT-4815,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-4815. User ID: user5. Please investigate the Application logs for ID EXT-4815. User IP: 182.24.142.132,Application,High,resolved
