Subject,Description,Service,Impact,Status
VPC Peering connection EXT-9345 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9345 dropped packets detected. User ID: user10. Please investigate the Infrastructure logs for ID EXT-9345. User IP: 52.172.246.165,Infrastructure,Medium,resolved
VPN tunnel EXT-3329 status changed to Down,Batch imported ticket for VPN tunnel EXT-3329 status changed to Down. User ID: user10. Please investigate the Network logs for ID EXT-3329. User IP: 163.148.9.232,Network,High,open
EFS mount failure on instance EXT-2574,Batch imported ticket for EFS mount failure on instance EXT-2574. User ID: user10. Please investigate the Storage logs for ID EXT-2574. User IP: 53.111.201.76,Storage,Medium,resolved
VPC Peering connection EXT-9374 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9374 dropped packets detected. User ID: user10. Please investigate the Infrastructure logs for ID EXT-9374. User IP: 234.244.89.215,Infrastructure,High,in_progress
Password reset requested for executive account EXT-2591,Batch imported ticket for Password reset requested for executive account EXT-2591. User ID: user10. Please investigate the Access logs for ID EXT-2591. User IP: 154.24.28.83,Access,Critical,open
Server cluster EXT-2732 high CPU usage warning,Batch imported ticket for Server cluster EXT-2732 high CPU usage warning. User ID: user10. Please investigate the Infrastructure logs for ID EXT-2732. User IP: 6.50.81.30,Infrastructure,Critical,open
Wireless AP EXT-8004 offline in South Wing,Batch imported ticket for Wireless AP EXT-8004 offline in South Wing. User ID: user10. Please investigate the Network logs for ID EXT-8004. User IP: 235.195.149.199,Network,Medium,resolved
Unusual login activity detected for account EXT-8669,Batch imported ticket for Unusual login activity detected for account EXT-8669. User ID: user10. Please investigate the Security logs for ID EXT-8669. User IP: 13.166.136.140,Security,High,in_progress
API Latency increased for /v1/products/list - EXT-6296,Batch imported ticket for API Latency increased for /v1/products/list - EXT-6296. User ID: user10. Please investigate the Application logs for ID EXT-6296. User IP: 71.217.175.198,Application,Medium,open
Password reset requested for executive account EXT-5212,Batch imported ticket for Password reset requested for executive account EXT-5212. User ID: user10. Please investigate the Access logs for ID EXT-5212. User IP: 119.0.133.127,Access,High,open
Credential stuffing attempt blocked on IP range EXT-8696.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-8696.0.0/16. User ID: user10. Please investigate the Security logs for ID EXT-8696. User IP: 255.114.197.136,Security,Medium,open
DNS resolution failure for internal host EXT-6170,Batch imported ticket for DNS resolution failure for internal host EXT-6170. User ID: user10. Please investigate the Network logs for ID EXT-6170. User IP: 251.129.64.122,Network,Low,open
Role-based access change request for team EXT-4712,Batch imported ticket for Role-based access change request for team EXT-4712. User ID: user10. Please investigate the Access logs for ID EXT-4712. User IP: 65.40.35.71,Access,Critical,in_progress
Password reset requested for executive account EXT-9009,Batch imported ticket for Password reset requested for executive account EXT-9009. User ID: user10. Please investigate the Access logs for ID EXT-9009. User IP: 66.157.216.47,Access,High,open
S3 bucket EXT-4309 access denied for service role,Batch imported ticket for S3 bucket EXT-4309 access denied for service role. User ID: user10. Please investigate the Storage logs for ID EXT-4309. User IP: 69.107.70.174,Storage,Low,in_progress
Payment gateway 500 status on /checkout/EXT-2030,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2030. User ID: user10. Please investigate the Application logs for ID EXT-2030. User IP: 47.139.219.82,Application,Low,in_progress
S3 bucket EXT-7613 access denied for service role,Batch imported ticket for S3 bucket EXT-7613 access denied for service role. User ID: user10. Please investigate the Storage logs for ID EXT-7613. User IP: 157.235.245.225,Storage,High,resolved
Postgres slow query optimization needed for EXT-1774,Batch imported ticket for Postgres slow query optimization needed for EXT-1774. User ID: user10. Please investigate the Database logs for ID EXT-1774. User IP: 81.253.108.251,Database,Medium,open
Unauthorized S3 bucket policy modification on EXT-3576,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-3576. User ID: user10. Please investigate the Security logs for ID EXT-3576. User IP: 36.24.151.65,Security,High,resolved
Postgres slow query optimization needed for EXT-7772,Batch imported ticket for Postgres slow query optimization needed for EXT-7772. User ID: user10. Please investigate the Database logs for ID EXT-7772. User IP: 185.181.205.68,Database,Critical,in_progress
API Latency increased for /v1/products/list - EXT-2581,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2581. User ID: user10. Please investigate the Application logs for ID EXT-2581. User IP: 129.81.159.180,Application,Critical,in_progress
Load Balancer EXT-8374 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8374 health check failures in Region-B. User ID: user10. Please investigate the Infrastructure logs for ID EXT-8374. User IP: 17.22.78.98,Infrastructure,Medium,resolved
Database backup failure for instance EXT-6701 on S3,Batch imported ticket for Database backup failure for instance EXT-6701 on S3. User ID: user10. Please investigate the Database logs for ID EXT-6701. User IP: 240.14.129.251,Database,Critical,in_progress
Credential stuffing attempt blocked on IP range EXT-9098.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9098.0.0/16. User ID: user10. Please investigate the Security logs for ID EXT-9098. User IP: 88.101.140.255,Security,Critical,open
DNS resolution failure for internal host EXT-7795,Batch imported ticket for DNS resolution failure for internal host EXT-7795. User ID: user10. Please investigate the Network logs for ID EXT-7795. User IP: 248.105.150.41,Network,Medium,resolved
Wireless AP EXT-6080 offline in South Wing,Batch imported ticket for Wireless AP EXT-6080 offline in South Wing. User ID: user10. Please investigate the Network logs for ID EXT-6080. User IP: 49.189.217.27,Network,Critical,resolved
