Subject,Description,Service,Impact,Status
Load Balancer EXT-4693 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4693 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4693. User IP: 31.139.131.192,infrastructure,High,in_progress
Password reset requested for executive account EXT-4551,Batch imported ticket for Password reset requested for executive account EXT-4551. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4551. User IP: 200.171.249.56,access,Critical,open
Database backup failure for instance EXT-4316 on S3,Batch imported ticket for Database backup failure for instance EXT-4316 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4316. User IP: 51.213.143.65,database,Low,resolved
S3 bucket EXT-4144 access denied for service role,Batch imported ticket for S3 bucket EXT-4144 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4144. User IP: 111.204.248.211,storage,Medium,open
EFS mount failure on instance EXT-4192,Batch imported ticket for EFS mount failure on instance EXT-4192. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4192. User IP: 78.244.20.6,storage,Low,in_progress
Database backup failure for instance EXT-4196 on S3,Batch imported ticket for Database backup failure for instance EXT-4196 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4196. User IP: 19.235.158.153,database,High,in_progress
VPC Peering connection EXT-4369 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4369 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4369. User IP: 218.218.157.203,infrastructure,High,open
Server cluster EXT-4743 high CPU usage warning,Batch imported ticket for Server cluster EXT-4743 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4743. User IP: 57.189.255.86,infrastructure,Critical,open
Connection pool exhaustion on microservice EXT-4255,Batch imported ticket for Connection pool exhaustion on microservice EXT-4255. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4255. User IP: 203.66.176.5,database,High,open
Wireless AP EXT-4899 offline in South Wing,Batch imported ticket for Wireless AP EXT-4899 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4899. User IP: 192.180.98.22,network,Medium,open
Wireless AP EXT-4161 offline in South Wing,Batch imported ticket for Wireless AP EXT-4161 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4161. User IP: 74.24.204.31,network,Low,open
Disk space low (95%) on shared drive EXT-4401,Batch imported ticket for Disk space low (95%) on shared drive EXT-4401. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4401. User IP: 219.190.210.182,storage,Medium,resolved
DNS resolution failure for internal host EXT-4137,Batch imported ticket for DNS resolution failure for internal host EXT-4137. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4137. User IP: 134.28.63.117,network,Critical,in_progress
Connection pool exhaustion on microservice EXT-4766,Batch imported ticket for Connection pool exhaustion on microservice EXT-4766. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4766. User IP: 253.122.214.30,database,Low,in_progress
Database backup failure for instance EXT-4955 on S3,Batch imported ticket for Database backup failure for instance EXT-4955 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4955. User IP: 212.76.168.158,database,High,in_progress
Server cluster EXT-4351 high CPU usage warning,Batch imported ticket for Server cluster EXT-4351 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4351. User IP: 211.108.252.128,infrastructure,Low,open
API Latency increased for /v1/products/list - EXT-4216,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4216. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4216. User IP: 25.157.10.111,application,Critical,resolved
EFS mount failure on instance EXT-4494,Batch imported ticket for EFS mount failure on instance EXT-4494. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4494. User IP: 157.236.130.42,storage,Low,in_progress
