Subject,Description,Service,Impact,Status
S3 bucket EXT-1788 access denied for service role,Batch imported ticket for S3 bucket EXT-1788 access denied for service role. User ID: user4. Please investigate the Storage logs for ID EXT-1788. User IP: 150.209.136.123,Storage,Critical,in_progress
S3 bucket EXT-6704 access denied for service role,Batch imported ticket for S3 bucket EXT-6704 access denied for service role. User ID: user4. Please investigate the Storage logs for ID EXT-6704. User IP: 30.15.47.77,Storage,High,open
Disk space low (95%) on shared drive EXT-5303,Batch imported ticket for Disk space low (95%) on shared drive EXT-5303. User ID: user4. Please investigate the Storage logs for ID EXT-5303. User IP: 111.198.72.102,Storage,Medium,in_progress
Role-based access change request for team EXT-1195,Batch imported ticket for Role-based access change request for team EXT-1195. User ID: user4. Please investigate the Access logs for ID EXT-1195. User IP: 204.118.204.238,Access,Critical,open
Role-based access change request for team EXT-6821,Batch imported ticket for Role-based access change request for team EXT-6821. User ID: user4. Please investigate the Access logs for ID EXT-6821. User IP: 108.29.229.104,Access,Medium,resolved
DNS resolution failure for internal host EXT-5010,Batch imported ticket for DNS resolution failure for internal host EXT-5010. User ID: user4. Please investigate the Network logs for ID EXT-5010. User IP: 16.101.251.154,Network,Medium,open
Role-based access change request for team EXT-2552,Batch imported ticket for Role-based access change request for team EXT-2552. User ID: user4. Please investigate the Access logs for ID EXT-2552. User IP: 79.200.99.118,Access,Medium,open
VPC Peering connection EXT-6237 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6237 dropped packets detected. User ID: user4. Please investigate the Infrastructure logs for ID EXT-6237. User IP: 178.127.28.156,Infrastructure,Critical,open
Password reset requested for executive account EXT-7916,Batch imported ticket for Password reset requested for executive account EXT-7916. User ID: user4. Please investigate the Access logs for ID EXT-7916. User IP: 50.109.226.153,Access,High,open
Credential stuffing attempt blocked on IP range EXT-9029.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9029.0.0/16. User ID: user4. Please investigate the Security logs for ID EXT-9029. User IP: 25.117.89.69,Security,Low,in_progress
API Latency increased for /v1/products/list - EXT-3957,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3957. User ID: user4. Please investigate the Application logs for ID EXT-3957. User IP: 241.229.15.47,Application,Critical,resolved
Database backup failure for instance EXT-6308 on S3,Batch imported ticket for Database backup failure for instance EXT-6308 on S3. User ID: user4. Please investigate the Database logs for ID EXT-6308. User IP: 27.202.49.184,Database,High,resolved
VPN tunnel EXT-1971 status changed to Down,Batch imported ticket for VPN tunnel EXT-1971 status changed to Down. User ID: user4. Please investigate the Network logs for ID EXT-1971. User IP: 62.20.37.165,Network,Critical,in_progress
S3 bucket EXT-3851 access denied for service role,Batch imported ticket for S3 bucket EXT-3851 access denied for service role. User ID: user4. Please investigate the Storage logs for ID EXT-3851. User IP: 200.227.250.207,Storage,Medium,open
User session timeout issue on mobile app version EXT-8035,Batch imported ticket for User session timeout issue on mobile app version EXT-8035. User ID: user4. Please investigate the Application logs for ID EXT-8035. User IP: 85.231.85.77,Application,High,open
Wireless AP EXT-6416 offline in South Wing,Batch imported ticket for Wireless AP EXT-6416 offline in South Wing. User ID: user4. Please investigate the Network logs for ID EXT-6416. User IP: 17.10.221.148,Network,Low,open
Role-based access change request for team EXT-9563,Batch imported ticket for Role-based access change request for team EXT-9563. User ID: user4. Please investigate the Access logs for ID EXT-9563. User IP: 176.194.72.192,Access,Medium,in_progress
Disk space low (95%) on shared drive EXT-1286,Batch imported ticket for Disk space low (95%) on shared drive EXT-1286. User ID: user4. Please investigate the Storage logs for ID EXT-1286. User IP: 233.138.251.241,Storage,Medium,in_progress
Role-based access change request for team EXT-9626,Batch imported ticket for Role-based access change request for team EXT-9626. User ID: user4. Please investigate the Access logs for ID EXT-9626. User IP: 157.151.224.137,Access,High,resolved
