Subject,Description,Service,Impact,Status
EFS mount failure on instance EXT-10986,Batch imported ticket for EFS mount failure on instance EXT-10986. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10986. User IP: 41.231.61.7,storage,Low,open
Unusual login activity detected for account EXT-10288,Batch imported ticket for Unusual login activity detected for account EXT-10288. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10288. User IP: 68.205.209.196,security,High,resolved
Load Balancer EXT-10563 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-10563 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10563. User IP: 134.79.171.196,infrastructure,Low,open
Database backup failure for instance EXT-10366 on S3,Batch imported ticket for Database backup failure for instance EXT-10366 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10366. User IP: 113.123.254.235,database,Critical,resolved
S3 bucket EXT-10835 access denied for service role,Batch imported ticket for S3 bucket EXT-10835 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10835. User IP: 174.62.154.48,storage,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-10599,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-10599. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10599. User IP: 1.96.0.46,security,Critical,in_progress
Password reset requested for executive account EXT-10635,Batch imported ticket for Password reset requested for executive account EXT-10635. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10635. User IP: 79.188.17.54,access,Critical,in_progress
Disk space low (95%) on shared drive EXT-10172,Batch imported ticket for Disk space low (95%) on shared drive EXT-10172. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10172. User IP: 228.32.138.229,storage,Low,in_progress
Unauthorized S3 bucket policy modification on EXT-10861,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-10861. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10861. User IP: 138.51.9.58,security,Low,in_progress
API Latency increased for /v1/products/list - EXT-10924,Batch imported ticket for API Latency increased for /v1/products/list - EXT-10924. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10924. User IP: 137.72.69.96,application,Critical,in_progress
S3 bucket EXT-10274 access denied for service role,Batch imported ticket for S3 bucket EXT-10274 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10274. User IP: 62.207.86.191,storage,High,resolved
Password reset requested for executive account EXT-10511,Batch imported ticket for Password reset requested for executive account EXT-10511. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10511. User IP: 215.128.28.193,access,Medium,resolved
Database backup failure for instance EXT-10489 on S3,Batch imported ticket for Database backup failure for instance EXT-10489 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10489. User IP: 154.5.222.235,database,Critical,resolved
Server cluster EXT-10933 high CPU usage warning,Batch imported ticket for Server cluster EXT-10933 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10933. User IP: 87.203.127.64,infrastructure,Low,open
Connection pool exhaustion on microservice EXT-10901,Batch imported ticket for Connection pool exhaustion on microservice EXT-10901. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10901. User IP: 245.217.77.46,database,Low,in_progress
VPN tunnel EXT-10475 status changed to Down,Batch imported ticket for VPN tunnel EXT-10475 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10475. User IP: 77.143.195.234,network,Critical,in_progress
EFS mount failure on instance EXT-10454,Batch imported ticket for EFS mount failure on instance EXT-10454. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10454. User IP: 194.34.82.211,storage,Low,in_progress
Payment gateway 500 status on /checkout/EXT-10176,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-10176. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10176. User IP: 101.227.122.100,application,Critical,resolved
API Latency increased for /v1/products/list - EXT-10294,Batch imported ticket for API Latency increased for /v1/products/list - EXT-10294. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10294. User IP: 88.202.7.187,application,Critical,resolved
VPC Peering connection EXT-10263 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-10263 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10263. User IP: 73.88.115.109,infrastructure,Critical,resolved
User session timeout issue on mobile app version EXT-10944,Batch imported ticket for User session timeout issue on mobile app version EXT-10944. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10944. User IP: 153.179.13.151,application,Low,resolved
Role-based access change request for team EXT-10666,Batch imported ticket for Role-based access change request for team EXT-10666. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10666. User IP: 242.162.35.213,access,Low,in_progress
Unauthorized S3 bucket policy modification on EXT-10787,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-10787. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10787. User IP: 196.129.214.201,security,Low,in_progress
Server cluster EXT-10238 high CPU usage warning,Batch imported ticket for Server cluster EXT-10238 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10238. User IP: 118.35.7.173,infrastructure,Low,in_progress
Database backup failure for instance EXT-10945 on S3,Batch imported ticket for Database backup failure for instance EXT-10945 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10945. User IP: 5.134.254.85,database,High,resolved
Server cluster EXT-10499 high CPU usage warning,Batch imported ticket for Server cluster EXT-10499 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10499. User IP: 80.18.168.139,infrastructure,Critical,open
VPC Peering connection EXT-10912 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-10912 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10912. User IP: 18.111.138.63,infrastructure,High,resolved
Role-based access change request for team EXT-10903,Batch imported ticket for Role-based access change request for team EXT-10903. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10903. User IP: 46.236.88.24,access,Critical,open
VPN tunnel EXT-10518 status changed to Down,Batch imported ticket for VPN tunnel EXT-10518 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10518. User IP: 213.235.224.170,network,Medium,in_progress
