Subject,Description,Service,Impact,Status
Server cluster EXT-2435 high CPU usage warning,Batch imported ticket for Server cluster EXT-2435 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2435. User IP: 120.198.140.203,infrastructure,Critical,open
Disk space low (95%) on shared drive EXT-2665,Batch imported ticket for Disk space low (95%) on shared drive EXT-2665. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2665. User IP: 67.41.8.166,storage,Medium,in_progress
Postgres slow query optimization needed for EXT-2206,Batch imported ticket for Postgres slow query optimization needed for EXT-2206. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2206. User IP: 5.7.88.109,database,Critical,open
Postgres slow query optimization needed for EXT-2925,Batch imported ticket for Postgres slow query optimization needed for EXT-2925. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2925. User IP: 43.94.65.230,database,Low,in_progress
Payment gateway 500 status on /checkout/EXT-2248,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2248. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2248. User IP: 186.245.142.40,application,Critical,resolved
Role-based access change request for team EXT-2145,Batch imported ticket for Role-based access change request for team EXT-2145. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2145. User IP: 32.47.237.228,access,Low,resolved
Postgres slow query optimization needed for EXT-2332,Batch imported ticket for Postgres slow query optimization needed for EXT-2332. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2332. User IP: 90.105.154.37,database,Low,open
Server cluster EXT-2776 high CPU usage warning,Batch imported ticket for Server cluster EXT-2776 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2776. User IP: 253.233.68.165,infrastructure,High,in_progress
Server cluster EXT-2194 high CPU usage warning,Batch imported ticket for Server cluster EXT-2194 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2194. User IP: 77.51.42.185,infrastructure,Medium,in_progress
Connection pool exhaustion on microservice EXT-2792,Batch imported ticket for Connection pool exhaustion on microservice EXT-2792. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2792. User IP: 41.244.7.91,database,High,resolved
