Subject,Description,Service,Impact,Status
Role-based access change request for team EXT-1886,Batch imported ticket for Role-based access change request for team EXT-1886. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1886. User IP: 232.255.70.158,access,Critical,open
Unauthorized S3 bucket policy modification on EXT-1146,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1146. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1146. User IP: 70.181.171.134,security,Critical,resolved
EFS mount failure on instance EXT-1557,Batch imported ticket for EFS mount failure on instance EXT-1557. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1557. User IP: 156.250.6.230,storage,Medium,open
Postgres slow query optimization needed for EXT-1212,Batch imported ticket for Postgres slow query optimization needed for EXT-1212. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1212. User IP: 189.75.179.122,database,Critical,resolved
Wireless AP EXT-1898 offline in South Wing,Batch imported ticket for Wireless AP EXT-1898 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1898. User IP: 141.130.11.82,network,Medium,resolved
EFS mount failure on instance EXT-1457,Batch imported ticket for EFS mount failure on instance EXT-1457. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1457. User IP: 157.43.107.135,storage,Low,resolved
Connection pool exhaustion on microservice EXT-1729,Batch imported ticket for Connection pool exhaustion on microservice EXT-1729. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1729. User IP: 174.64.118.183,database,Critical,resolved
EFS mount failure on instance EXT-1242,Batch imported ticket for EFS mount failure on instance EXT-1242. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1242. User IP: 104.80.96.132,storage,Medium,resolved
Disk space low (95%) on shared drive EXT-1854,Batch imported ticket for Disk space low (95%) on shared drive EXT-1854. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1854. User IP: 234.247.151.56,storage,Critical,resolved
Role-based access change request for team EXT-1985,Batch imported ticket for Role-based access change request for team EXT-1985. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1985. User IP: 115.212.18.10,access,Medium,in_progress
VPN tunnel EXT-1944 status changed to Down,Batch imported ticket for VPN tunnel EXT-1944 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1944. User IP: 6.150.16.32,network,Medium,open
Disk space low (95%) on shared drive EXT-1659,Batch imported ticket for Disk space low (95%) on shared drive EXT-1659. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1659. User IP: 35.140.241.16,storage,Low,open
Unauthorized S3 bucket policy modification on EXT-1983,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1983. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1983. User IP: 122.77.79.232,security,Low,resolved
DNS resolution failure for internal host EXT-1929,Batch imported ticket for DNS resolution failure for internal host EXT-1929. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1929. User IP: 202.98.161.77,network,Critical,open
EFS mount failure on instance EXT-1447,Batch imported ticket for EFS mount failure on instance EXT-1447. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1447. User IP: 96.53.239.54,storage,Critical,in_progress
Connection pool exhaustion on microservice EXT-1254,Batch imported ticket for Connection pool exhaustion on microservice EXT-1254. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1254. User IP: 174.164.123.218,database,Low,open
Unauthorized S3 bucket policy modification on EXT-1391,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1391. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1391. User IP: 179.198.121.90,security,Medium,resolved
Connection pool exhaustion on microservice EXT-1466,Batch imported ticket for Connection pool exhaustion on microservice EXT-1466. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1466. User IP: 159.184.228.181,database,High,resolved
Payment gateway 500 status on /checkout/EXT-1556,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1556. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1556. User IP: 249.18.31.154,application,High,open
Credential stuffing attempt blocked on IP range EXT-1473.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1473.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1473. User IP: 26.192.68.236,security,Low,open
Payment gateway 500 status on /checkout/EXT-1264,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1264. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1264. User IP: 242.245.219.44,application,Medium,in_progress
Server cluster EXT-1478 high CPU usage warning,Batch imported ticket for Server cluster EXT-1478 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1478. User IP: 237.183.99.53,infrastructure,High,in_progress
Unusual login activity detected for account EXT-1408,Batch imported ticket for Unusual login activity detected for account EXT-1408. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1408. User IP: 217.152.168.196,security,Low,in_progress
EFS mount failure on instance EXT-1509,Batch imported ticket for EFS mount failure on instance EXT-1509. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1509. User IP: 128.201.77.241,storage,High,in_progress
Load Balancer EXT-1580 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1580 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1580. User IP: 75.58.124.58,infrastructure,Low,in_progress
Load Balancer EXT-1654 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1654 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1654. User IP: 97.176.148.250,infrastructure,Low,resolved
Load Balancer EXT-1314 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1314 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1314. User IP: 40.56.230.245,infrastructure,High,open
VPN tunnel EXT-1108 status changed to Down,Batch imported ticket for VPN tunnel EXT-1108 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1108. User IP: 4.199.203.11,network,Critical,open
Database backup failure for instance EXT-1550 on S3,Batch imported ticket for Database backup failure for instance EXT-1550 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1550. User IP: 68.204.65.255,database,Medium,in_progress
Load Balancer EXT-1150 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1150 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1150. User IP: 131.119.81.12,infrastructure,Medium,open
Connection pool exhaustion on microservice EXT-1856,Batch imported ticket for Connection pool exhaustion on microservice EXT-1856. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1856. User IP: 3.100.109.222,database,Low,open
S3 bucket EXT-1490 access denied for service role,Batch imported ticket for S3 bucket EXT-1490 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1490. User IP: 104.114.234.219,storage,Critical,resolved
DNS resolution failure for internal host EXT-1721,Batch imported ticket for DNS resolution failure for internal host EXT-1721. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1721. User IP: 131.156.185.9,network,Critical,resolved
Load Balancer EXT-1553 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1553 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1553. User IP: 183.109.36.129,infrastructure,Medium,in_progress
DNS resolution failure for internal host EXT-1225,Batch imported ticket for DNS resolution failure for internal host EXT-1225. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1225. User IP: 61.81.121.55,network,High,open
DNS resolution failure for internal host EXT-1487,Batch imported ticket for DNS resolution failure for internal host EXT-1487. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1487. User IP: 48.77.157.245,network,Low,in_progress
Password reset requested for executive account EXT-1945,Batch imported ticket for Password reset requested for executive account EXT-1945. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1945. User IP: 91.148.229.227,access,High,resolved
Unusual login activity detected for account EXT-1878,Batch imported ticket for Unusual login activity detected for account EXT-1878. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1878. User IP: 139.10.57.29,security,Low,in_progress
Server cluster EXT-1141 high CPU usage warning,Batch imported ticket for Server cluster EXT-1141 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1141. User IP: 201.182.165.167,infrastructure,Critical,open
Payment gateway 500 status on /checkout/EXT-1265,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1265. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1265. User IP: 231.167.2.70,application,High,resolved
EFS mount failure on instance EXT-1676,Batch imported ticket for EFS mount failure on instance EXT-1676. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1676. User IP: 248.213.184.135,storage,Medium,open
Connection pool exhaustion on microservice EXT-1432,Batch imported ticket for Connection pool exhaustion on microservice EXT-1432. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1432. User IP: 218.47.181.239,database,Critical,in_progress
Unusual login activity detected for account EXT-1684,Batch imported ticket for Unusual login activity detected for account EXT-1684. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1684. User IP: 125.159.212.126,security,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-1238,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1238. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1238. User IP: 189.251.221.50,security,Critical,resolved
Wireless AP EXT-1186 offline in South Wing,Batch imported ticket for Wireless AP EXT-1186 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1186. User IP: 35.137.80.12,network,Critical,resolved
Password reset requested for executive account EXT-1574,Batch imported ticket for Password reset requested for executive account EXT-1574. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1574. User IP: 54.104.16.84,access,Low,in_progress
Disk space low (95%) on shared drive EXT-1340,Batch imported ticket for Disk space low (95%) on shared drive EXT-1340. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1340. User IP: 136.199.152.232,storage,Critical,resolved
API Latency increased for /v1/products/list - EXT-1721,Batch imported ticket for API Latency increased for /v1/products/list - EXT-1721. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1721. User IP: 24.202.170.115,application,Critical,in_progress
Credential stuffing attempt blocked on IP range EXT-1727.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1727.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1727. User IP: 217.52.104.218,security,Critical,in_progress
EFS mount failure on instance EXT-1120,Batch imported ticket for EFS mount failure on instance EXT-1120. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1120. User IP: 254.205.203.35,storage,High,open
