Subject,Description,Service,Impact,Status
VPN tunnel EXT-6104 status changed to Down,Batch imported ticket for VPN tunnel EXT-6104 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6104. User IP: 25.166.138.78,network,Critical,open
VPN tunnel EXT-6307 status changed to Down,Batch imported ticket for VPN tunnel EXT-6307 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6307. User IP: 67.84.74.223,network,High,in_progress
Load Balancer EXT-6101 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-6101 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6101. User IP: 148.121.40.234,infrastructure,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-6891,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6891. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6891. User IP: 93.179.64.69,security,Critical,open
VPN tunnel EXT-6769 status changed to Down,Batch imported ticket for VPN tunnel EXT-6769 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6769. User IP: 208.50.205.165,network,Critical,open
Payment gateway 500 status on /checkout/EXT-6492,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6492. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6492. User IP: 123.229.235.255,application,Low,in_progress
Password reset requested for executive account EXT-6926,Batch imported ticket for Password reset requested for executive account EXT-6926. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6926. User IP: 218.57.78.254,access,High,open
EFS mount failure on instance EXT-6526,Batch imported ticket for EFS mount failure on instance EXT-6526. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6526. User IP: 120.39.231.178,storage,High,resolved
Unauthorized S3 bucket policy modification on EXT-6396,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6396. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6396. User IP: 206.81.51.247,security,High,in_progress
Unauthorized S3 bucket policy modification on EXT-6399,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6399. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6399. User IP: 132.148.98.103,security,Low,resolved
Unusual login activity detected for account EXT-6108,Batch imported ticket for Unusual login activity detected for account EXT-6108. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6108. User IP: 106.105.125.57,security,Medium,open
