Subject,Description,Service,Impact,Status
Disk space low (95%) on shared drive EXT-6553,Batch imported ticket for Disk space low (95%) on shared drive EXT-6553. User ID: user7. Please investigate the Storage logs for ID EXT-6553. User IP: 222.237.193.94,Storage,Critical,open
VPC Peering connection EXT-1036 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1036 dropped packets detected. User ID: user7. Please investigate the Infrastructure logs for ID EXT-1036. User IP: 97.173.151.150,Infrastructure,High,in_progress
Unauthorized S3 bucket policy modification on EXT-4268,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4268. User ID: user7. Please investigate the Security logs for ID EXT-4268. User IP: 200.209.79.216,Security,High,open
Credential stuffing attempt blocked on IP range EXT-5205.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5205.0.0/16. User ID: user7. Please investigate the Security logs for ID EXT-5205. User IP: 155.147.151.85,Security,High,open
Database backup failure for instance EXT-3859 on S3,Batch imported ticket for Database backup failure for instance EXT-3859 on S3. User ID: user7. Please investigate the Database logs for ID EXT-3859. User IP: 240.117.0.174,Database,High,open
Unusual login activity detected for account EXT-6304,Batch imported ticket for Unusual login activity detected for account EXT-6304. User ID: user7. Please investigate the Security logs for ID EXT-6304. User IP: 81.142.23.83,Security,Critical,in_progress
EFS mount failure on instance EXT-9379,Batch imported ticket for EFS mount failure on instance EXT-9379. User ID: user7. Please investigate the Storage logs for ID EXT-9379. User IP: 132.228.54.231,Storage,Medium,open
Disk space low (95%) on shared drive EXT-9717,Batch imported ticket for Disk space low (95%) on shared drive EXT-9717. User ID: user7. Please investigate the Storage logs for ID EXT-9717. User IP: 71.77.96.30,Storage,Critical,in_progress
VPC Peering connection EXT-1621 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1621 dropped packets detected. User ID: user7. Please investigate the Infrastructure logs for ID EXT-1621. User IP: 88.50.94.91,Infrastructure,Critical,resolved
Database backup failure for instance EXT-8965 on S3,Batch imported ticket for Database backup failure for instance EXT-8965 on S3. User ID: user7. Please investigate the Database logs for ID EXT-8965. User IP: 139.72.231.192,Database,Low,in_progress
Password reset requested for executive account EXT-6234,Batch imported ticket for Password reset requested for executive account EXT-6234. User ID: user7. Please investigate the Access logs for ID EXT-6234. User IP: 75.75.2.12,Access,Critical,open
Unauthorized S3 bucket policy modification on EXT-4348,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4348. User ID: user7. Please investigate the Security logs for ID EXT-4348. User IP: 154.178.179.167,Security,Low,resolved
Unauthorized S3 bucket policy modification on EXT-4975,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4975. User ID: user7. Please investigate the Security logs for ID EXT-4975. User IP: 252.186.74.212,Security,Critical,resolved
Role-based access change request for team EXT-2284,Batch imported ticket for Role-based access change request for team EXT-2284. User ID: user7. Please investigate the Access logs for ID EXT-2284. User IP: 219.134.74.210,Access,Low,resolved
Server cluster EXT-3127 high CPU usage warning,Batch imported ticket for Server cluster EXT-3127 high CPU usage warning. User ID: user7. Please investigate the Infrastructure logs for ID EXT-3127. User IP: 123.148.147.18,Infrastructure,High,open
VPC Peering connection EXT-7820 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7820 dropped packets detected. User ID: user7. Please investigate the Infrastructure logs for ID EXT-7820. User IP: 165.83.4.17,Infrastructure,Critical,in_progress
Password reset requested for executive account EXT-2663,Batch imported ticket for Password reset requested for executive account EXT-2663. User ID: user7. Please investigate the Access logs for ID EXT-2663. User IP: 196.12.182.248,Access,Low,open
Unauthorized S3 bucket policy modification on EXT-5737,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5737. User ID: user7. Please investigate the Security logs for ID EXT-5737. User IP: 98.182.45.206,Security,Medium,resolved
Disk space low (95%) on shared drive EXT-2019,Batch imported ticket for Disk space low (95%) on shared drive EXT-2019. User ID: user7. Please investigate the Storage logs for ID EXT-2019. User IP: 75.23.98.84,Storage,Critical,in_progress
S3 bucket EXT-2374 access denied for service role,Batch imported ticket for S3 bucket EXT-2374 access denied for service role. User ID: user7. Please investigate the Storage logs for ID EXT-2374. User IP: 108.61.147.47,Storage,Critical,in_progress
VPN tunnel EXT-2589 status changed to Down,Batch imported ticket for VPN tunnel EXT-2589 status changed to Down. User ID: user7. Please investigate the Network logs for ID EXT-2589. User IP: 219.208.13.144,Network,Critical,resolved
Server cluster EXT-2320 high CPU usage warning,Batch imported ticket for Server cluster EXT-2320 high CPU usage warning. User ID: user7. Please investigate the Infrastructure logs for ID EXT-2320. User IP: 185.52.245.22,Infrastructure,Critical,open
Load Balancer EXT-1499 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-1499 health check failures in Region-B. User ID: user7. Please investigate the Infrastructure logs for ID EXT-1499. User IP: 168.45.12.225,Infrastructure,High,in_progress
Connection pool exhaustion on microservice EXT-5822,Batch imported ticket for Connection pool exhaustion on microservice EXT-5822. User ID: user7. Please investigate the Database logs for ID EXT-5822. User IP: 102.78.109.14,Database,Medium,resolved
EFS mount failure on instance EXT-4961,Batch imported ticket for EFS mount failure on instance EXT-4961. User ID: user7. Please investigate the Storage logs for ID EXT-4961. User IP: 79.65.227.135,Storage,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-7591,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7591. User ID: user7. Please investigate the Security logs for ID EXT-7591. User IP: 15.238.208.172,Security,High,open
DNS resolution failure for internal host EXT-1967,Batch imported ticket for DNS resolution failure for internal host EXT-1967. User ID: user7. Please investigate the Network logs for ID EXT-1967. User IP: 61.26.157.173,Network,Low,open
Server cluster EXT-5037 high CPU usage warning,Batch imported ticket for Server cluster EXT-5037 high CPU usage warning. User ID: user7. Please investigate the Infrastructure logs for ID EXT-5037. User IP: 228.167.83.218,Infrastructure,High,resolved
Unusual login activity detected for account EXT-2333,Batch imported ticket for Unusual login activity detected for account EXT-2333. User ID: user7. Please investigate the Security logs for ID EXT-2333. User IP: 8.136.243.9,Security,Low,in_progress
User session timeout issue on mobile app version EXT-5673,Batch imported ticket for User session timeout issue on mobile app version EXT-5673. User ID: user7. Please investigate the Application logs for ID EXT-5673. User IP: 200.28.34.77,Application,Medium,open
Disk space low (95%) on shared drive EXT-3868,Batch imported ticket for Disk space low (95%) on shared drive EXT-3868. User ID: user7. Please investigate the Storage logs for ID EXT-3868. User IP: 152.35.147.247,Storage,Low,open
VPC Peering connection EXT-2376 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2376 dropped packets detected. User ID: user7. Please investigate the Infrastructure logs for ID EXT-2376. User IP: 134.10.169.45,Infrastructure,Low,in_progress
Load Balancer EXT-2453 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-2453 health check failures in Region-B. User ID: user7. Please investigate the Infrastructure logs for ID EXT-2453. User IP: 164.146.238.1,Infrastructure,High,open
API Latency increased for /v1/products/list - EXT-8333,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8333. User ID: user7. Please investigate the Application logs for ID EXT-8333. User IP: 54.77.233.34,Application,Medium,in_progress
Postgres slow query optimization needed for EXT-7581,Batch imported ticket for Postgres slow query optimization needed for EXT-7581. User ID: user7. Please investigate the Database logs for ID EXT-7581. User IP: 160.159.39.114,Database,High,open
Connection pool exhaustion on microservice EXT-1653,Batch imported ticket for Connection pool exhaustion on microservice EXT-1653. User ID: user7. Please investigate the Database logs for ID EXT-1653. User IP: 42.133.101.36,Database,High,in_progress
Connection pool exhaustion on microservice EXT-3255,Batch imported ticket for Connection pool exhaustion on microservice EXT-3255. User ID: user7. Please investigate the Database logs for ID EXT-3255. User IP: 250.235.88.90,Database,Medium,in_progress
S3 bucket EXT-5008 access denied for service role,Batch imported ticket for S3 bucket EXT-5008 access denied for service role. User ID: user7. Please investigate the Storage logs for ID EXT-5008. User IP: 53.217.178.102,Storage,Medium,resolved
Password reset requested for executive account EXT-7515,Batch imported ticket for Password reset requested for executive account EXT-7515. User ID: user7. Please investigate the Access logs for ID EXT-7515. User IP: 176.188.26.139,Access,Medium,in_progress
Server cluster EXT-9595 high CPU usage warning,Batch imported ticket for Server cluster EXT-9595 high CPU usage warning. User ID: user7. Please investigate the Infrastructure logs for ID EXT-9595. User IP: 188.42.125.31,Infrastructure,Low,open
Payment gateway 500 status on /checkout/EXT-3987,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-3987. User ID: user7. Please investigate the Application logs for ID EXT-3987. User IP: 199.247.50.218,Application,High,resolved
Database backup failure for instance EXT-4378 on S3,Batch imported ticket for Database backup failure for instance EXT-4378 on S3. User ID: user7. Please investigate the Database logs for ID EXT-4378. User IP: 95.224.190.28,Database,Critical,open
S3 bucket EXT-9262 access denied for service role,Batch imported ticket for S3 bucket EXT-9262 access denied for service role. User ID: user7. Please investigate the Storage logs for ID EXT-9262. User IP: 204.242.197.160,Storage,Critical,in_progress
Database backup failure for instance EXT-1099 on S3,Batch imported ticket for Database backup failure for instance EXT-1099 on S3. User ID: user7. Please investigate the Database logs for ID EXT-1099. User IP: 198.72.87.3,Database,Critical,in_progress
Role-based access change request for team EXT-8215,Batch imported ticket for Role-based access change request for team EXT-8215. User ID: user7. Please investigate the Access logs for ID EXT-8215. User IP: 7.23.177.107,Access,Low,open
Payment gateway 500 status on /checkout/EXT-5057,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-5057. User ID: user7. Please investigate the Application logs for ID EXT-5057. User IP: 48.155.47.88,Application,Medium,open
EFS mount failure on instance EXT-9872,Batch imported ticket for EFS mount failure on instance EXT-9872. User ID: user7. Please investigate the Storage logs for ID EXT-9872. User IP: 214.197.48.236,Storage,Critical,open
Payment gateway 500 status on /checkout/EXT-1671,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1671. User ID: user7. Please investigate the Application logs for ID EXT-1671. User IP: 144.149.206.13,Application,Medium,resolved
Payment gateway 500 status on /checkout/EXT-7083,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7083. User ID: user7. Please investigate the Application logs for ID EXT-7083. User IP: 206.13.129.95,Application,Critical,open
Credential stuffing attempt blocked on IP range EXT-5935.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5935.0.0/16. User ID: user7. Please investigate the Security logs for ID EXT-5935. User IP: 67.19.138.135,Security,Low,resolved
