Subject,Description,Service,Impact,Status
S3 bucket EXT-8677 access denied for service role,Batch imported ticket for S3 bucket EXT-8677 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8677. User IP: 32.153.41.119,storage,Critical,resolved
Server cluster EXT-8165 high CPU usage warning,Batch imported ticket for Server cluster EXT-8165 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8165. User IP: 90.172.222.83,infrastructure,Low,resolved
DNS resolution failure for internal host EXT-8790,Batch imported ticket for DNS resolution failure for internal host EXT-8790. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8790. User IP: 93.247.167.77,network,Critical,resolved
Connection pool exhaustion on microservice EXT-8401,Batch imported ticket for Connection pool exhaustion on microservice EXT-8401. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8401. User IP: 235.203.44.216,database,Low,resolved
EFS mount failure on instance EXT-8412,Batch imported ticket for EFS mount failure on instance EXT-8412. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8412. User IP: 146.8.86.237,storage,Critical,open
Database backup failure for instance EXT-8131 on S3,Batch imported ticket for Database backup failure for instance EXT-8131 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8131. User IP: 198.98.111.210,database,High,resolved
DNS resolution failure for internal host EXT-8697,Batch imported ticket for DNS resolution failure for internal host EXT-8697. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8697. User IP: 230.23.35.254,network,Low,open
DNS resolution failure for internal host EXT-8883,Batch imported ticket for DNS resolution failure for internal host EXT-8883. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8883. User IP: 146.3.186.74,network,High,resolved
API Latency increased for /v1/products/list - EXT-8816,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8816. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-8816. User IP: 9.172.3.254,application,Critical,resolved
Unusual login activity detected for account EXT-8754,Batch imported ticket for Unusual login activity detected for account EXT-8754. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8754. User IP: 123.57.133.6,security,High,in_progress
S3 bucket EXT-8552 access denied for service role,Batch imported ticket for S3 bucket EXT-8552 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8552. User IP: 107.73.247.95,storage,Low,open
API Latency increased for /v1/products/list - EXT-8606,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8606. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-8606. User IP: 54.203.54.141,application,High,in_progress
Unauthorized S3 bucket policy modification on EXT-8352,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8352. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8352. User IP: 102.110.247.32,security,Medium,in_progress
Wireless AP EXT-8919 offline in South Wing,Batch imported ticket for Wireless AP EXT-8919 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8919. User IP: 51.252.63.223,network,Medium,open
EFS mount failure on instance EXT-8911,Batch imported ticket for EFS mount failure on instance EXT-8911. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8911. User IP: 61.23.215.147,storage,Critical,resolved
Payment gateway 500 status on /checkout/EXT-8123,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-8123. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-8123. User IP: 62.219.38.210,application,High,open
DNS resolution failure for internal host EXT-8170,Batch imported ticket for DNS resolution failure for internal host EXT-8170. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8170. User IP: 135.138.48.92,network,High,open
Postgres slow query optimization needed for EXT-8486,Batch imported ticket for Postgres slow query optimization needed for EXT-8486. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8486. User IP: 192.155.253.73,database,Medium,in_progress
