Subject,Description,Service,Impact,Status
Database backup failure for instance EXT-3223 on S3,Batch imported ticket for Database backup failure for instance EXT-3223 on S3. User ID: user9. Please investigate the Database logs for ID EXT-3223. User IP: 4.22.244.188,Database,Low,resolved
VPC Peering connection EXT-2996 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2996 dropped packets detected. User ID: user9. Please investigate the Infrastructure logs for ID EXT-2996. User IP: 18.209.46.159,Infrastructure,High,open
Password reset requested for executive account EXT-5781,Batch imported ticket for Password reset requested for executive account EXT-5781. User ID: user9. Please investigate the Access logs for ID EXT-5781. User IP: 19.110.235.161,Access,Medium,open
EFS mount failure on instance EXT-6054,Batch imported ticket for EFS mount failure on instance EXT-6054. User ID: user9. Please investigate the Storage logs for ID EXT-6054. User IP: 69.101.232.178,Storage,Low,resolved
DNS resolution failure for internal host EXT-3796,Batch imported ticket for DNS resolution failure for internal host EXT-3796. User ID: user9. Please investigate the Network logs for ID EXT-3796. User IP: 68.87.60.93,Network,Low,open
Server cluster EXT-5831 high CPU usage warning,Batch imported ticket for Server cluster EXT-5831 high CPU usage warning. User ID: user9. Please investigate the Infrastructure logs for ID EXT-5831. User IP: 59.185.149.56,Infrastructure,Low,in_progress
Unusual login activity detected for account EXT-2979,Batch imported ticket for Unusual login activity detected for account EXT-2979. User ID: user9. Please investigate the Security logs for ID EXT-2979. User IP: 35.139.241.29,Security,Critical,in_progress
Payment gateway 500 status on /checkout/EXT-1540,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1540. User ID: user9. Please investigate the Application logs for ID EXT-1540. User IP: 177.103.65.221,Application,Low,resolved
Disk space low (95%) on shared drive EXT-8863,Batch imported ticket for Disk space low (95%) on shared drive EXT-8863. User ID: user9. Please investigate the Storage logs for ID EXT-8863. User IP: 33.13.111.31,Storage,Low,open
API Latency increased for /v1/products/list - EXT-7995,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7995. User ID: user9. Please investigate the Application logs for ID EXT-7995. User IP: 14.233.203.15,Application,High,in_progress
User session timeout issue on mobile app version EXT-2736,Batch imported ticket for User session timeout issue on mobile app version EXT-2736. User ID: user9. Please investigate the Application logs for ID EXT-2736. User IP: 115.217.224.133,Application,Low,in_progress
API Latency increased for /v1/products/list - EXT-3822,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3822. User ID: user9. Please investigate the Application logs for ID EXT-3822. User IP: 8.212.97.159,Application,Critical,in_progress
Postgres slow query optimization needed for EXT-3017,Batch imported ticket for Postgres slow query optimization needed for EXT-3017. User ID: user9. Please investigate the Database logs for ID EXT-3017. User IP: 194.228.123.107,Database,Medium,open
User session timeout issue on mobile app version EXT-6335,Batch imported ticket for User session timeout issue on mobile app version EXT-6335. User ID: user9. Please investigate the Application logs for ID EXT-6335. User IP: 11.113.171.5,Application,High,resolved
User session timeout issue on mobile app version EXT-5483,Batch imported ticket for User session timeout issue on mobile app version EXT-5483. User ID: user9. Please investigate the Application logs for ID EXT-5483. User IP: 220.253.18.163,Application,Low,in_progress
API Latency increased for /v1/products/list - EXT-8350,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8350. User ID: user9. Please investigate the Application logs for ID EXT-8350. User IP: 169.24.55.201,Application,Medium,resolved
EFS mount failure on instance EXT-7893,Batch imported ticket for EFS mount failure on instance EXT-7893. User ID: user9. Please investigate the Storage logs for ID EXT-7893. User IP: 21.185.192.35,Storage,Medium,in_progress
Wireless AP EXT-4038 offline in South Wing,Batch imported ticket for Wireless AP EXT-4038 offline in South Wing. User ID: user9. Please investigate the Network logs for ID EXT-4038. User IP: 70.150.109.27,Network,High,in_progress
Credential stuffing attempt blocked on IP range EXT-6221.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6221.0.0/16. User ID: user9. Please investigate the Security logs for ID EXT-6221. User IP: 13.202.78.227,Security,Low,resolved
EFS mount failure on instance EXT-2065,Batch imported ticket for EFS mount failure on instance EXT-2065. User ID: user9. Please investigate the Storage logs for ID EXT-2065. User IP: 235.209.199.33,Storage,High,in_progress
Postgres slow query optimization needed for EXT-8238,Batch imported ticket for Postgres slow query optimization needed for EXT-8238. User ID: user9. Please investigate the Database logs for ID EXT-8238. User IP: 238.204.81.70,Database,High,resolved
API Latency increased for /v1/products/list - EXT-2782,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2782. User ID: user9. Please investigate the Application logs for ID EXT-2782. User IP: 132.109.82.211,Application,Low,resolved
Load Balancer EXT-4828 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4828 health check failures in Region-B. User ID: user9. Please investigate the Infrastructure logs for ID EXT-4828. User IP: 147.5.156.233,Infrastructure,Critical,open
Wireless AP EXT-3485 offline in South Wing,Batch imported ticket for Wireless AP EXT-3485 offline in South Wing. User ID: user9. Please investigate the Network logs for ID EXT-3485. User IP: 243.212.229.252,Network,High,open
Wireless AP EXT-2095 offline in South Wing,Batch imported ticket for Wireless AP EXT-2095 offline in South Wing. User ID: user9. Please investigate the Network logs for ID EXT-2095. User IP: 91.54.13.75,Network,Low,open
Unauthorized S3 bucket policy modification on EXT-2417,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2417. User ID: user9. Please investigate the Security logs for ID EXT-2417. User IP: 59.146.234.185,Security,Low,resolved
Unusual login activity detected for account EXT-5232,Batch imported ticket for Unusual login activity detected for account EXT-5232. User ID: user9. Please investigate the Security logs for ID EXT-5232. User IP: 27.31.224.48,Security,Critical,open
Password reset requested for executive account EXT-5781,Batch imported ticket for Password reset requested for executive account EXT-5781. User ID: user9. Please investigate the Access logs for ID EXT-5781. User IP: 107.44.92.12,Access,Medium,in_progress
