Subject,Description,Service,Impact,Status
VPN tunnel EXT-6183 status changed to Down,Batch imported ticket for VPN tunnel EXT-6183 status changed to Down. User ID: user6. Please investigate the Network logs for ID EXT-6183. User IP: 14.30.123.192,Network,Critical,resolved
API Latency increased for /v1/products/list - EXT-9724,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9724. User ID: user6. Please investigate the Application logs for ID EXT-9724. User IP: 254.154.118.225,Application,High,in_progress
EFS mount failure on instance EXT-2314,Batch imported ticket for EFS mount failure on instance EXT-2314. User ID: user6. Please investigate the Storage logs for ID EXT-2314. User IP: 152.152.90.16,Storage,Medium,open
API Latency increased for /v1/products/list - EXT-8878,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8878. User ID: user6. Please investigate the Application logs for ID EXT-8878. User IP: 207.144.119.9,Application,Medium,resolved
Password reset requested for executive account EXT-3152,Batch imported ticket for Password reset requested for executive account EXT-3152. User ID: user6. Please investigate the Access logs for ID EXT-3152. User IP: 26.52.185.173,Access,Low,in_progress
Role-based access change request for team EXT-1498,Batch imported ticket for Role-based access change request for team EXT-1498. User ID: user6. Please investigate the Access logs for ID EXT-1498. User IP: 85.210.81.228,Access,Low,in_progress
Disk space low (95%) on shared drive EXT-9481,Batch imported ticket for Disk space low (95%) on shared drive EXT-9481. User ID: user6. Please investigate the Storage logs for ID EXT-9481. User IP: 210.36.211.193,Storage,Critical,in_progress
API Latency increased for /v1/products/list - EXT-2010,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2010. User ID: user6. Please investigate the Application logs for ID EXT-2010. User IP: 182.186.244.242,Application,High,in_progress
API Latency increased for /v1/products/list - EXT-4031,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4031. User ID: user6. Please investigate the Application logs for ID EXT-4031. User IP: 230.241.18.158,Application,Low,in_progress
VPC Peering connection EXT-7534 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7534 dropped packets detected. User ID: user6. Please investigate the Infrastructure logs for ID EXT-7534. User IP: 20.241.172.134,Infrastructure,Medium,open
Load Balancer EXT-5169 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-5169 health check failures in Region-B. User ID: user6. Please investigate the Infrastructure logs for ID EXT-5169. User IP: 53.201.173.95,Infrastructure,Low,resolved
Unauthorized S3 bucket policy modification on EXT-1864,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1864. User ID: user6. Please investigate the Security logs for ID EXT-1864. User IP: 237.12.10.155,Security,High,resolved
VPN tunnel EXT-3905 status changed to Down,Batch imported ticket for VPN tunnel EXT-3905 status changed to Down. User ID: user6. Please investigate the Network logs for ID EXT-3905. User IP: 17.203.73.47,Network,Medium,open
Wireless AP EXT-4545 offline in South Wing,Batch imported ticket for Wireless AP EXT-4545 offline in South Wing. User ID: user6. Please investigate the Network logs for ID EXT-4545. User IP: 248.88.202.21,Network,Medium,resolved
DNS resolution failure for internal host EXT-4511,Batch imported ticket for DNS resolution failure for internal host EXT-4511. User ID: user6. Please investigate the Network logs for ID EXT-4511. User IP: 15.218.18.77,Network,Medium,open
Connection pool exhaustion on microservice EXT-3712,Batch imported ticket for Connection pool exhaustion on microservice EXT-3712. User ID: user6. Please investigate the Database logs for ID EXT-3712. User IP: 216.129.11.197,Database,Critical,open
VPC Peering connection EXT-1584 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1584 dropped packets detected. User ID: user6. Please investigate the Infrastructure logs for ID EXT-1584. User IP: 243.63.13.89,Infrastructure,Medium,in_progress
Load Balancer EXT-3636 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-3636 health check failures in Region-B. User ID: user6. Please investigate the Infrastructure logs for ID EXT-3636. User IP: 66.166.31.195,Infrastructure,Critical,in_progress
Postgres slow query optimization needed for EXT-6371,Batch imported ticket for Postgres slow query optimization needed for EXT-6371. User ID: user6. Please investigate the Database logs for ID EXT-6371. User IP: 90.187.49.96,Database,High,in_progress
Unusual login activity detected for account EXT-1673,Batch imported ticket for Unusual login activity detected for account EXT-1673. User ID: user6. Please investigate the Security logs for ID EXT-1673. User IP: 184.127.243.34,Security,Medium,open
