Subject,Description,Service,Impact,Status
Payment gateway 500 status on /checkout/EXT-9016,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9016. User ID: user8. Please investigate the Application logs for ID EXT-9016. User IP: 19.110.70.159,Application,High,resolved
Disk space low (95%) on shared drive EXT-8530,Batch imported ticket for Disk space low (95%) on shared drive EXT-8530. User ID: user8. Please investigate the Storage logs for ID EXT-8530. User IP: 11.105.134.174,Storage,Medium,open
EFS mount failure on instance EXT-9823,Batch imported ticket for EFS mount failure on instance EXT-9823. User ID: user8. Please investigate the Storage logs for ID EXT-9823. User IP: 41.96.126.180,Storage,Medium,in_progress
Load Balancer EXT-5829 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-5829 health check failures in Region-B. User ID: user8. Please investigate the Infrastructure logs for ID EXT-5829. User IP: 166.195.191.182,Infrastructure,High,resolved
User session timeout issue on mobile app version EXT-9107,Batch imported ticket for User session timeout issue on mobile app version EXT-9107. User ID: user8. Please investigate the Application logs for ID EXT-9107. User IP: 245.120.216.129,Application,Critical,in_progress
EFS mount failure on instance EXT-6987,Batch imported ticket for EFS mount failure on instance EXT-6987. User ID: user8. Please investigate the Storage logs for ID EXT-6987. User IP: 19.247.47.225,Storage,Medium,open
Connection pool exhaustion on microservice EXT-3971,Batch imported ticket for Connection pool exhaustion on microservice EXT-3971. User ID: user8. Please investigate the Database logs for ID EXT-3971. User IP: 210.196.140.185,Database,Medium,resolved
Unusual login activity detected for account EXT-7615,Batch imported ticket for Unusual login activity detected for account EXT-7615. User ID: user8. Please investigate the Security logs for ID EXT-7615. User IP: 27.47.74.154,Security,Critical,in_progress
Server cluster EXT-8549 high CPU usage warning,Batch imported ticket for Server cluster EXT-8549 high CPU usage warning. User ID: user8. Please investigate the Infrastructure logs for ID EXT-8549. User IP: 32.146.65.32,Infrastructure,Critical,open
Password reset requested for executive account EXT-3271,Batch imported ticket for Password reset requested for executive account EXT-3271. User ID: user8. Please investigate the Access logs for ID EXT-3271. User IP: 16.190.221.163,Access,Low,resolved
Postgres slow query optimization needed for EXT-3146,Batch imported ticket for Postgres slow query optimization needed for EXT-3146. User ID: user8. Please investigate the Database logs for ID EXT-3146. User IP: 16.90.189.241,Database,High,open
User session timeout issue on mobile app version EXT-8231,Batch imported ticket for User session timeout issue on mobile app version EXT-8231. User ID: user8. Please investigate the Application logs for ID EXT-8231. User IP: 126.60.116.152,Application,Medium,open
Payment gateway 500 status on /checkout/EXT-7164,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7164. User ID: user8. Please investigate the Application logs for ID EXT-7164. User IP: 21.183.91.191,Application,Medium,open
Connection pool exhaustion on microservice EXT-1152,Batch imported ticket for Connection pool exhaustion on microservice EXT-1152. User ID: user8. Please investigate the Database logs for ID EXT-1152. User IP: 38.9.177.12,Database,Medium,in_progress
Wireless AP EXT-1289 offline in South Wing,Batch imported ticket for Wireless AP EXT-1289 offline in South Wing. User ID: user8. Please investigate the Network logs for ID EXT-1289. User IP: 64.183.19.220,Network,Low,open
Load Balancer EXT-6732 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-6732 health check failures in Region-B. User ID: user8. Please investigate the Infrastructure logs for ID EXT-6732. User IP: 189.220.96.69,Infrastructure,High,resolved
API Latency increased for /v1/products/list - EXT-8256,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8256. User ID: user8. Please investigate the Application logs for ID EXT-8256. User IP: 185.50.134.249,Application,Critical,open
VPN tunnel EXT-1730 status changed to Down,Batch imported ticket for VPN tunnel EXT-1730 status changed to Down. User ID: user8. Please investigate the Network logs for ID EXT-1730. User IP: 203.32.50.118,Network,Medium,in_progress
API Latency increased for /v1/products/list - EXT-9025,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9025. User ID: user8. Please investigate the Application logs for ID EXT-9025. User IP: 154.209.49.83,Application,Medium,open
Server cluster EXT-8624 high CPU usage warning,Batch imported ticket for Server cluster EXT-8624 high CPU usage warning. User ID: user8. Please investigate the Infrastructure logs for ID EXT-8624. User IP: 147.208.102.186,Infrastructure,Critical,open
Password reset requested for executive account EXT-5152,Batch imported ticket for Password reset requested for executive account EXT-5152. User ID: user8. Please investigate the Access logs for ID EXT-5152. User IP: 104.23.60.18,Access,Medium,resolved
Wireless AP EXT-5536 offline in South Wing,Batch imported ticket for Wireless AP EXT-5536 offline in South Wing. User ID: user8. Please investigate the Network logs for ID EXT-5536. User IP: 119.162.166.224,Network,Low,in_progress
API Latency increased for /v1/products/list - EXT-5119,Batch imported ticket for API Latency increased for /v1/products/list - EXT-5119. User ID: user8. Please investigate the Application logs for ID EXT-5119. User IP: 84.242.113.48,Application,Low,in_progress
VPC Peering connection EXT-8690 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-8690 dropped packets detected. User ID: user8. Please investigate the Infrastructure logs for ID EXT-8690. User IP: 24.127.191.125,Infrastructure,High,open
Server cluster EXT-1753 high CPU usage warning,Batch imported ticket for Server cluster EXT-1753 high CPU usage warning. User ID: user8. Please investigate the Infrastructure logs for ID EXT-1753. User IP: 231.204.87.251,Infrastructure,Low,in_progress
Password reset requested for executive account EXT-2619,Batch imported ticket for Password reset requested for executive account EXT-2619. User ID: user8. Please investigate the Access logs for ID EXT-2619. User IP: 27.233.13.89,Access,Critical,open
Disk space low (95%) on shared drive EXT-5144,Batch imported ticket for Disk space low (95%) on shared drive EXT-5144. User ID: user8. Please investigate the Storage logs for ID EXT-5144. User IP: 155.165.166.42,Storage,Critical,open
Unauthorized S3 bucket policy modification on EXT-4174,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4174. User ID: user8. Please investigate the Security logs for ID EXT-4174. User IP: 13.198.170.109,Security,Critical,resolved
Database backup failure for instance EXT-4412 on S3,Batch imported ticket for Database backup failure for instance EXT-4412 on S3. User ID: user8. Please investigate the Database logs for ID EXT-4412. User IP: 25.22.254.196,Database,Medium,open
Load Balancer EXT-5320 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-5320 health check failures in Region-B. User ID: user8. Please investigate the Infrastructure logs for ID EXT-5320. User IP: 27.245.166.79,Infrastructure,Medium,in_progress
Server cluster EXT-4073 high CPU usage warning,Batch imported ticket for Server cluster EXT-4073 high CPU usage warning. User ID: user8. Please investigate the Infrastructure logs for ID EXT-4073. User IP: 251.152.165.164,Infrastructure,Low,resolved
Disk space low (95%) on shared drive EXT-5886,Batch imported ticket for Disk space low (95%) on shared drive EXT-5886. User ID: user8. Please investigate the Storage logs for ID EXT-5886. User IP: 21.73.129.168,Storage,Low,open
VPC Peering connection EXT-1921 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1921 dropped packets detected. User ID: user8. Please investigate the Infrastructure logs for ID EXT-1921. User IP: 50.247.106.69,Infrastructure,Low,resolved
EFS mount failure on instance EXT-5032,Batch imported ticket for EFS mount failure on instance EXT-5032. User ID: user8. Please investigate the Storage logs for ID EXT-5032. User IP: 79.37.106.212,Storage,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-7139.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7139.0.0/16. User ID: user8. Please investigate the Security logs for ID EXT-7139. User IP: 152.255.76.151,Security,Critical,in_progress
Wireless AP EXT-5728 offline in South Wing,Batch imported ticket for Wireless AP EXT-5728 offline in South Wing. User ID: user8. Please investigate the Network logs for ID EXT-5728. User IP: 181.77.186.233,Network,High,resolved
Wireless AP EXT-5033 offline in South Wing,Batch imported ticket for Wireless AP EXT-5033 offline in South Wing. User ID: user8. Please investigate the Network logs for ID EXT-5033. User IP: 177.3.60.208,Network,Critical,resolved
DNS resolution failure for internal host EXT-2851,Batch imported ticket for DNS resolution failure for internal host EXT-2851. User ID: user8. Please investigate the Network logs for ID EXT-2851. User IP: 157.142.230.89,Network,Low,resolved
Disk space low (95%) on shared drive EXT-4465,Batch imported ticket for Disk space low (95%) on shared drive EXT-4465. User ID: user8. Please investigate the Storage logs for ID EXT-4465. User IP: 45.96.143.213,Storage,Critical,resolved
Database backup failure for instance EXT-9830 on S3,Batch imported ticket for Database backup failure for instance EXT-9830 on S3. User ID: user8. Please investigate the Database logs for ID EXT-9830. User IP: 160.50.162.83,Database,High,resolved
Database backup failure for instance EXT-1427 on S3,Batch imported ticket for Database backup failure for instance EXT-1427 on S3. User ID: user8. Please investigate the Database logs for ID EXT-1427. User IP: 187.24.202.175,Database,High,resolved
DNS resolution failure for internal host EXT-9261,Batch imported ticket for DNS resolution failure for internal host EXT-9261. User ID: user8. Please investigate the Network logs for ID EXT-9261. User IP: 159.249.8.113,Network,Medium,resolved
DNS resolution failure for internal host EXT-7297,Batch imported ticket for DNS resolution failure for internal host EXT-7297. User ID: user8. Please investigate the Network logs for ID EXT-7297. User IP: 79.183.116.83,Network,High,open
Unusual login activity detected for account EXT-6974,Batch imported ticket for Unusual login activity detected for account EXT-6974. User ID: user8. Please investigate the Security logs for ID EXT-6974. User IP: 21.87.164.202,Security,Low,resolved
API Latency increased for /v1/products/list - EXT-1412,Batch imported ticket for API Latency increased for /v1/products/list - EXT-1412. User ID: user8. Please investigate the Application logs for ID EXT-1412. User IP: 167.113.6.158,Application,Low,resolved
Database backup failure for instance EXT-3284 on S3,Batch imported ticket for Database backup failure for instance EXT-3284 on S3. User ID: user8. Please investigate the Database logs for ID EXT-3284. User IP: 21.136.188.97,Database,Critical,in_progress
