Subject,Description,Service,Impact,Status
Disk space low (95%) on shared drive EXT-7807,Batch imported ticket for Disk space low (95%) on shared drive EXT-7807. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7807. User IP: 158.155.115.80,storage,Critical,open
S3 bucket EXT-7616 access denied for service role,Batch imported ticket for S3 bucket EXT-7616 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7616. User IP: 143.20.86.246,storage,Low,open
VPC Peering connection EXT-7429 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7429 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7429. User IP: 184.0.54.37,infrastructure,High,resolved
Load Balancer EXT-7423 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-7423 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7423. User IP: 126.24.30.183,infrastructure,Medium,open
Password reset requested for executive account EXT-7977,Batch imported ticket for Password reset requested for executive account EXT-7977. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7977. User IP: 192.246.79.68,access,Critical,resolved
EFS mount failure on instance EXT-7804,Batch imported ticket for EFS mount failure on instance EXT-7804. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7804. User IP: 148.241.205.143,storage,Low,resolved
Payment gateway 500 status on /checkout/EXT-7262,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7262. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7262. User IP: 133.46.221.81,application,Low,open
Role-based access change request for team EXT-7330,Batch imported ticket for Role-based access change request for team EXT-7330. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7330. User IP: 34.20.205.216,access,Low,open
Payment gateway 500 status on /checkout/EXT-7392,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7392. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7392. User IP: 25.115.171.75,application,High,open
Disk space low (95%) on shared drive EXT-7868,Batch imported ticket for Disk space low (95%) on shared drive EXT-7868. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7868. User IP: 207.233.115.29,storage,Medium,resolved
Payment gateway 500 status on /checkout/EXT-7921,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7921. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7921. User IP: 147.167.110.191,application,Medium,open
Load Balancer EXT-7808 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-7808 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7808. User IP: 77.45.39.93,infrastructure,Low,in_progress
DNS resolution failure for internal host EXT-7271,Batch imported ticket for DNS resolution failure for internal host EXT-7271. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7271. User IP: 3.245.204.25,network,Critical,open
Server cluster EXT-7739 high CPU usage warning,Batch imported ticket for Server cluster EXT-7739 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7739. User IP: 198.62.178.179,infrastructure,Medium,resolved
VPC Peering connection EXT-7483 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7483 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7483. User IP: 191.15.92.127,infrastructure,High,in_progress
Credential stuffing attempt blocked on IP range EXT-7161.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7161.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7161. User IP: 164.147.60.102,security,Critical,open
