Subject,Description,Service,Impact,Status
Disk space low (95%) on shared drive EXT-9622,Batch imported ticket for Disk space low (95%) on shared drive EXT-9622. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9622. User IP: 147.192.59.149,storage,Low,resolved
Password reset requested for executive account EXT-9697,Batch imported ticket for Password reset requested for executive account EXT-9697. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9697. User IP: 166.133.180.196,access,High,open
Server cluster EXT-9225 high CPU usage warning,Batch imported ticket for Server cluster EXT-9225 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9225. User IP: 10.107.201.22,infrastructure,Medium,open
Connection pool exhaustion on microservice EXT-9700,Batch imported ticket for Connection pool exhaustion on microservice EXT-9700. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9700. User IP: 231.23.74.5,database,Low,in_progress
User session timeout issue on mobile app version EXT-9363,Batch imported ticket for User session timeout issue on mobile app version EXT-9363. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9363. User IP: 3.160.202.156,application,Medium,resolved
Password reset requested for executive account EXT-9725,Batch imported ticket for Password reset requested for executive account EXT-9725. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9725. User IP: 37.85.1.223,access,High,resolved
Password reset requested for executive account EXT-9214,Batch imported ticket for Password reset requested for executive account EXT-9214. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9214. User IP: 191.210.19.99,access,Low,open
Unauthorized S3 bucket policy modification on EXT-9899,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9899. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9899. User IP: 140.231.66.217,security,Critical,resolved
DNS resolution failure for internal host EXT-9848,Batch imported ticket for DNS resolution failure for internal host EXT-9848. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9848. User IP: 165.147.51.134,network,Low,in_progress
DNS resolution failure for internal host EXT-9361,Batch imported ticket for DNS resolution failure for internal host EXT-9361. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9361. User IP: 215.236.110.102,network,Medium,open
Load Balancer EXT-9430 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-9430 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9430. User IP: 152.17.27.143,infrastructure,High,in_progress
Postgres slow query optimization needed for EXT-9149,Batch imported ticket for Postgres slow query optimization needed for EXT-9149. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9149. User IP: 215.30.102.104,database,Critical,in_progress
S3 bucket EXT-9278 access denied for service role,Batch imported ticket for S3 bucket EXT-9278 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9278. User IP: 166.131.63.162,storage,Medium,open
Unusual login activity detected for account EXT-9597,Batch imported ticket for Unusual login activity detected for account EXT-9597. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9597. User IP: 166.29.155.246,security,Low,open
Password reset requested for executive account EXT-9791,Batch imported ticket for Password reset requested for executive account EXT-9791. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9791. User IP: 149.20.150.249,access,Low,resolved
User session timeout issue on mobile app version EXT-9917,Batch imported ticket for User session timeout issue on mobile app version EXT-9917. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9917. User IP: 167.180.40.231,application,Medium,open
Database backup failure for instance EXT-9974 on S3,Batch imported ticket for Database backup failure for instance EXT-9974 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9974. User IP: 115.7.131.95,database,Critical,in_progress
Disk space low (95%) on shared drive EXT-9344,Batch imported ticket for Disk space low (95%) on shared drive EXT-9344. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9344. User IP: 91.230.131.21,storage,Medium,resolved
Credential stuffing attempt blocked on IP range EXT-9512.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9512.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9512. User IP: 48.66.209.234,security,Critical,open
Password reset requested for executive account EXT-9854,Batch imported ticket for Password reset requested for executive account EXT-9854. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9854. User IP: 175.213.119.221,access,High,in_progress
Unusual login activity detected for account EXT-9834,Batch imported ticket for Unusual login activity detected for account EXT-9834. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9834. User IP: 192.60.25.101,security,Medium,in_progress
Credential stuffing attempt blocked on IP range EXT-9982.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-9982.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9982. User IP: 88.114.155.219,security,Low,open
API Latency increased for /v1/products/list - EXT-9443,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9443. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9443. User IP: 186.168.112.175,application,Low,open
Connection pool exhaustion on microservice EXT-9159,Batch imported ticket for Connection pool exhaustion on microservice EXT-9159. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9159. User IP: 253.116.153.228,database,Medium,open
Payment gateway 500 status on /checkout/EXT-9947,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9947. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9947. User IP: 219.109.39.30,application,Low,resolved
Unusual login activity detected for account EXT-9821,Batch imported ticket for Unusual login activity detected for account EXT-9821. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9821. User IP: 95.139.242.22,security,Critical,resolved
Role-based access change request for team EXT-9355,Batch imported ticket for Role-based access change request for team EXT-9355. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9355. User IP: 61.36.202.30,access,Critical,open
API Latency increased for /v1/products/list - EXT-9534,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9534. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9534. User IP: 106.106.50.98,application,Low,in_progress
Server cluster EXT-9646 high CPU usage warning,Batch imported ticket for Server cluster EXT-9646 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9646. User IP: 7.64.41.150,infrastructure,Low,open
Password reset requested for executive account EXT-9606,Batch imported ticket for Password reset requested for executive account EXT-9606. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9606. User IP: 135.170.17.218,access,Critical,in_progress
Database backup failure for instance EXT-9380 on S3,Batch imported ticket for Database backup failure for instance EXT-9380 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9380. User IP: 255.22.112.228,database,Critical,in_progress
Unusual login activity detected for account EXT-9120,Batch imported ticket for Unusual login activity detected for account EXT-9120. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-9120. User IP: 184.118.50.54,security,High,open
EFS mount failure on instance EXT-9749,Batch imported ticket for EFS mount failure on instance EXT-9749. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9749. User IP: 224.56.200.172,storage,Low,resolved
Disk space low (95%) on shared drive EXT-9868,Batch imported ticket for Disk space low (95%) on shared drive EXT-9868. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9868. User IP: 236.171.225.170,storage,Critical,resolved
VPC Peering connection EXT-9193 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9193 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9193. User IP: 116.127.58.64,infrastructure,Medium,resolved
Server cluster EXT-9880 high CPU usage warning,Batch imported ticket for Server cluster EXT-9880 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9880. User IP: 77.127.183.107,infrastructure,Medium,resolved
