Subject,Description,Service,Impact,Status
DNS resolution failure for internal host EXT-3858,Batch imported ticket for DNS resolution failure for internal host EXT-3858. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3858. User IP: 209.178.9.192,network,High,resolved
Payment gateway 500 status on /checkout/EXT-3517,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-3517. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3517. User IP: 93.83.0.80,application,Medium,in_progress
Wireless AP EXT-3780 offline in South Wing,Batch imported ticket for Wireless AP EXT-3780 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3780. User IP: 38.225.65.81,network,Medium,open
Credential stuffing attempt blocked on IP range EXT-3727.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3727.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3727. User IP: 5.149.23.171,security,High,in_progress
DNS resolution failure for internal host EXT-3770,Batch imported ticket for DNS resolution failure for internal host EXT-3770. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3770. User IP: 194.0.185.106,network,Critical,in_progress
DNS resolution failure for internal host EXT-3863,Batch imported ticket for DNS resolution failure for internal host EXT-3863. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3863. User IP: 109.211.146.77,network,Critical,open
Payment gateway 500 status on /checkout/EXT-3658,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-3658. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3658. User IP: 104.227.148.241,application,Low,resolved
Database backup failure for instance EXT-3255 on S3,Batch imported ticket for Database backup failure for instance EXT-3255 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3255. User IP: 44.14.132.180,database,High,in_progress
VPC Peering connection EXT-3947 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3947 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3947. User IP: 61.90.54.17,infrastructure,Medium,open
Unauthorized S3 bucket policy modification on EXT-3198,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-3198. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3198. User IP: 124.125.99.103,security,High,resolved
Unusual login activity detected for account EXT-3980,Batch imported ticket for Unusual login activity detected for account EXT-3980. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3980. User IP: 52.25.117.18,security,Medium,in_progress
Connection pool exhaustion on microservice EXT-3855,Batch imported ticket for Connection pool exhaustion on microservice EXT-3855. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3855. User IP: 110.4.13.123,database,Critical,in_progress
EFS mount failure on instance EXT-3204,Batch imported ticket for EFS mount failure on instance EXT-3204. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3204. User IP: 145.175.184.82,storage,High,in_progress
Server cluster EXT-3961 high CPU usage warning,Batch imported ticket for Server cluster EXT-3961 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3961. User IP: 248.22.109.144,infrastructure,High,open
Credential stuffing attempt blocked on IP range EXT-3906.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3906.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3906. User IP: 229.201.214.222,security,Low,resolved
S3 bucket EXT-3407 access denied for service role,Batch imported ticket for S3 bucket EXT-3407 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3407. User IP: 51.156.51.239,storage,Medium,resolved
Disk space low (95%) on shared drive EXT-3643,Batch imported ticket for Disk space low (95%) on shared drive EXT-3643. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3643. User IP: 15.237.18.149,storage,Medium,in_progress
User session timeout issue on mobile app version EXT-3912,Batch imported ticket for User session timeout issue on mobile app version EXT-3912. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3912. User IP: 3.99.183.228,application,High,open
Postgres slow query optimization needed for EXT-3814,Batch imported ticket for Postgres slow query optimization needed for EXT-3814. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3814. User IP: 90.221.120.31,database,Medium,open
