Subject,Description,Service,Impact,Status
Postgres slow query optimization needed for EXT-2366,Batch imported ticket for Postgres slow query optimization needed for EXT-2366. User ID: user3. Please investigate the Database logs for ID EXT-2366. User IP: 183.232.10.43,Database,Critical,in_progress
Wireless AP EXT-3914 offline in South Wing,Batch imported ticket for Wireless AP EXT-3914 offline in South Wing. User ID: user3. Please investigate the Network logs for ID EXT-3914. User IP: 244.166.147.39,Network,Medium,in_progress
Password reset requested for executive account EXT-3107,Batch imported ticket for Password reset requested for executive account EXT-3107. User ID: user3. Please investigate the Access logs for ID EXT-3107. User IP: 4.227.78.24,Access,Low,in_progress
Payment gateway 500 status on /checkout/EXT-6860,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6860. User ID: user3. Please investigate the Application logs for ID EXT-6860. User IP: 132.57.233.159,Application,Medium,in_progress
VPN tunnel EXT-2605 status changed to Down,Batch imported ticket for VPN tunnel EXT-2605 status changed to Down. User ID: user3. Please investigate the Network logs for ID EXT-2605. User IP: 202.233.118.50,Network,Critical,in_progress
Unusual login activity detected for account EXT-5554,Batch imported ticket for Unusual login activity detected for account EXT-5554. User ID: user3. Please investigate the Security logs for ID EXT-5554. User IP: 22.123.214.170,Security,Critical,open
Payment gateway 500 status on /checkout/EXT-7316,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7316. User ID: user3. Please investigate the Application logs for ID EXT-7316. User IP: 113.117.202.245,Application,Low,in_progress
S3 bucket EXT-4404 access denied for service role,Batch imported ticket for S3 bucket EXT-4404 access denied for service role. User ID: user3. Please investigate the Storage logs for ID EXT-4404. User IP: 28.193.133.74,Storage,Low,in_progress
Password reset requested for executive account EXT-6882,Batch imported ticket for Password reset requested for executive account EXT-6882. User ID: user3. Please investigate the Access logs for ID EXT-6882. User IP: 150.69.128.97,Access,Critical,resolved
Unauthorized S3 bucket policy modification on EXT-4827,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4827. User ID: user3. Please investigate the Security logs for ID EXT-4827. User IP: 180.128.46.61,Security,High,in_progress
Load Balancer EXT-8167 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8167 health check failures in Region-B. User ID: user3. Please investigate the Infrastructure logs for ID EXT-8167. User IP: 33.106.77.159,Infrastructure,High,in_progress
Server cluster EXT-2283 high CPU usage warning,Batch imported ticket for Server cluster EXT-2283 high CPU usage warning. User ID: user3. Please investigate the Infrastructure logs for ID EXT-2283. User IP: 237.229.191.10,Infrastructure,High,resolved
Database backup failure for instance EXT-7833 on S3,Batch imported ticket for Database backup failure for instance EXT-7833 on S3. User ID: user3. Please investigate the Database logs for ID EXT-7833. User IP: 128.115.45.240,Database,High,open
Connection pool exhaustion on microservice EXT-9785,Batch imported ticket for Connection pool exhaustion on microservice EXT-9785. User ID: user3. Please investigate the Database logs for ID EXT-9785. User IP: 49.95.173.234,Database,High,open
DNS resolution failure for internal host EXT-7491,Batch imported ticket for DNS resolution failure for internal host EXT-7491. User ID: user3. Please investigate the Network logs for ID EXT-7491. User IP: 132.255.114.246,Network,Low,in_progress
Password reset requested for executive account EXT-2489,Batch imported ticket for Password reset requested for executive account EXT-2489. User ID: user3. Please investigate the Access logs for ID EXT-2489. User IP: 36.121.165.147,Access,High,in_progress
Wireless AP EXT-9115 offline in South Wing,Batch imported ticket for Wireless AP EXT-9115 offline in South Wing. User ID: user3. Please investigate the Network logs for ID EXT-9115. User IP: 56.54.157.43,Network,High,open
User session timeout issue on mobile app version EXT-3152,Batch imported ticket for User session timeout issue on mobile app version EXT-3152. User ID: user3. Please investigate the Application logs for ID EXT-3152. User IP: 203.239.5.240,Application,Critical,resolved
EFS mount failure on instance EXT-9249,Batch imported ticket for EFS mount failure on instance EXT-9249. User ID: user3. Please investigate the Storage logs for ID EXT-9249. User IP: 11.134.103.78,Storage,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-5308,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5308. User ID: user3. Please investigate the Security logs for ID EXT-5308. User IP: 217.189.169.155,Security,Low,in_progress
EFS mount failure on instance EXT-3082,Batch imported ticket for EFS mount failure on instance EXT-3082. User ID: user3. Please investigate the Storage logs for ID EXT-3082. User IP: 159.236.15.226,Storage,Low,open
