Subject,Description,Service,Impact,Status
Password reset requested for executive account EXT-1194,Batch imported ticket for Password reset requested for executive account EXT-1194. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-1194. User IP: 49.30.105.59,Access Management,Critical,in_progress
Connection pool exhaustion on microservice EXT-5512,Batch imported ticket for Connection pool exhaustion on microservice EXT-5512. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-5512. User IP: 194.147.75.231,Database,High,resolved
Connection pool exhaustion on microservice EXT-8919,Batch imported ticket for Connection pool exhaustion on microservice EXT-8919. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-8919. User IP: 82.182.184.172,Database,Medium,in_progress
Disk space low (95%) on shared drive EXT-5332,Batch imported ticket for Disk space low (95%) on shared drive EXT-5332. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-5332. User IP: 211.150.181.72,Storage,High,resolved
VPN tunnel EXT-3307 status changed to Down,Batch imported ticket for VPN tunnel EXT-3307 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-3307. User IP: 143.91.47.160,Network,Critical,resolved
Role-based access change request for team EXT-8062,Batch imported ticket for Role-based access change request for team EXT-8062. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-8062. User IP: 84.29.153.146,Access Management,Low,in_progress
VPC Peering connection EXT-1062 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1062 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-1062. User IP: 205.167.82.133,Infrastructure,Low,resolved
Wireless AP EXT-8304 offline in South Wing,Batch imported ticket for Wireless AP EXT-8304 offline in South Wing. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-8304. User IP: 8.185.144.216,Network,Medium,open
DNS resolution failure for internal host EXT-3431,Batch imported ticket for DNS resolution failure for internal host EXT-3431. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-3431. User IP: 250.34.54.188,Network,Critical,in_progress
Unusual login activity detected for account EXT-9682,Batch imported ticket for Unusual login activity detected for account EXT-9682. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-9682. User IP: 230.242.26.237,Security,Low,in_progress
Database backup failure for instance EXT-3220 on S3,Batch imported ticket for Database backup failure for instance EXT-3220 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-3220. User IP: 78.235.77.135,Database,Low,in_progress
EFS mount failure on instance EXT-7996,Batch imported ticket for EFS mount failure on instance EXT-7996. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-7996. User IP: 139.125.172.178,Storage,Medium,in_progress
User session timeout issue on mobile app version EXT-2208,Batch imported ticket for User session timeout issue on mobile app version EXT-2208. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2208. User IP: 198.55.177.6,Application,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-8373,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8373. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-8373. User IP: 11.32.107.137,Security,Critical,open
